Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype Developer,https://help.sonatype.com/en/bundle-development.html,https://github.com/sonatype/nexus-public/tree/master/assemblies/,HTTP 404,404,...ion of Nexus Repository. These definitions are found in the assemblies module. The supported distributions are defined in the modu...
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.17.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.17.1-01.zip ( ASC , SHA1 )"
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,https://plugins.jenkins.io/nexus-jenkins-plugin/,HTTP 404,404,...is actively working to resolve a distribution issue for the nexus-jenkins-plugin . This is a temporary distribution issue and could affect a...
Sonatype IQ Server,https://help.sonatype.com/en/webhooks-concepts--iq-server-and-slack-integration.html,http://slackapi.github.io/node-slack-sdk/,HTTP 404,404,"...Looking at Slack for more information, we found the Slack Developer Kit for Node.js . This kit is great because they have something that makes ..."
Sonatype IQ Server,https://help.sonatype.com/en/iq-for-idea.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.17.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.17.1-01.zip ( ASC , SHA1 )"
Sonatype IQ Server,https://help.sonatype.com/en/container-deployments.html,https://repo1.dso.mil/dsop/sonatype/nexus-iq-server/nexus-iq-server,Timeout (after retries),0,Iron Bank for Sonatype IQ Server
Sonatype IQ Server,https://help.sonatype.com/en/cloud-deployments.html,https://repo1.dso.mil/dsop/sonatype/nexus/nexus,Timeout (after retries),0,Iron Bank for Nexus Repository
Sonatype Integrations,https://help.sonatype.com/en/notable-integrations-changes.html,https://repo.sonatype.com/repository/sonatype-hosted/pki/deb-gpg/GPG-KEY-sonatype-apt-hosted.asc ,HTTP 404,404,https://repo.sonatype.com/repository/sonatype-hosted/pki/deb-gpg/GPG-KEY-sonatype-apt-hosted.asc
Sonatype Lifecycle,https://help.sonatype.com/en/find-and-fix-log4j.html,https://ossindex.sonatype.org/vulnerability/f0ac54b6-9b81-45bb-99a4-e6cb54749f9d,HTTP 404,404,"...ular Java logging framework. The log4j-core vulnerability ( CVE-2021-44228 , a.k.a. Log4Shell) affects a massive number of application..."
Sonatype Lifecycle,https://help.sonatype.com/en/automated-pull-requests.html,https://github.com/samplecount/samplerepo.,HTTP 404,404,"...e a repository URL, which much be entered as an HTTPS, e.g. https://github.com/samplecount/samplerepo. The trailing .git is optional. If an ssh:// URL is used, Li..."
Sonatype Lifecycle,https://help.sonatype.com/en/automated-pull-requests-in-npm.html,https://docs.npmjs.com/misc/semver,HTTP 404,404,https://docs.npmjs.com/misc/semver
Sonatype Lifecycle,https://help.sonatype.com/en/pull-request-commenting.html,https://github.com/samplecount/samplerepo.,HTTP 404,404,"...have a repository URL, which must be entered as HTTPS, e.g. https://github.com/samplecount/samplerepo. The trailing .git is optional. If an ssh:// URL is used, Li..."
Sonatype Lifecycle,https://help.sonatype.com/en/hugging-face-model-analysis.html,http://FastText,Connection Failed (persistent),0,FastText
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-3-38-0---3-38-1-release-notes.html,https://ossindex.sonatype.org/vulnerability/f0ac54b6-9b81-45bb-99a4-e6cb54749f9d,HTTP 404,404,"...itical vulnerability in Apache's ""Log4j2"" logging utility ( CVE-2021-44228 , also known as ""log4shell""), we introduced the Log4J Visua..."
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-3-37-0---3-37-3-release-notes.html,https://ossindex.sonatype.org/vulnerability/f0ac54b6-9b81-45bb-99a4-e6cb54749f9d,HTTP 404,404,"...itical vulnerability in Apache's ""Log4j2"" logging utility ( CVE-2021-44228 , also known as ""log4shell""). In an effort to help the glob..."
Sonatype Nexus Repository,https://help.sonatype.com/en/resilient-nexus-repository-deployment-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/deploy-nexus-repository-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/go-repositories.html,https://github.com/foo/emoji-message,HTTP 404,404,module github.com/foo/emoji-message go 1.12
Sonatype Nexus Repository,https://help.sonatype.com/en/conda-repositories.html,https://conda.anaconda.org/conda-forge,HTTP 404,404,"...ages from remote Anaconda repositories, such as Continuum , Conda-Forge , and Anaconda . Have the Conda client use the Nexus Reposi..."
Sonatype Nexus Repository,https://help.sonatype.com/en/migrating-to-nexus-repository-from-artifactory.html,https://jfrog.com/help/r/jfrog-artifactory-documentation/repositories-import-and-export,HTTP 404,404,...request a backup to be taken and made available to you (See Artifactory's documentation )....
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://logback.qos.ch/xref/ch/qos/logback/access/PatternLayout.html,HTTP 404,404,"As of IQ Server 1.43, the request log line format is configurable using patterns defined by the Logback Access PatternLayout class."
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://www.dropwizard.io/en/release-1.3.x/manual/configuration.html,HTTP 404,404,IQ Server uses Dropwizard 1.3.x requestLog configuration
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://www.dropwizard.io/en/release-1.3.x/manual/core.html,HTTP 404,404,IQ Server uses Dropwizard 1.3.x logging configuration
Sonatype Nexus Repository,https://help.sonatype.com/en/docker-image-analysis.html,https://wiki.jenkins.io/display/JENKINS/Nexus+Platform+Plugin,HTTP 404,404,...evaluation. You need a running instance of Jenkins with the Sonatype Platform plugin to run policy evaluations. Specify an agent node that has D...
Sonatype Nexus Repository,https://help.sonatype.com/en/sonatype-nexus-repository-3-78-0-release-notes.html,http://https://github.com/sonatype/docker-nexus3,Connection Failed (persistent),0,"With the addition of ARM architecture being added to the docker image, we are no longer publishing tags to the docker-nexus github repository."
Sonatype Nexus Repository,https://help.sonatype.com/en/apt-repositories.html,http://https://wiki.debian.org/DebianRepository/Format,Connection Failed (persistent),0,See Flat Repository Format
Sonatype Nexus Repository,https://help.sonatype.com/en/atlassian-crowd-integration-configuration.html,http://your-host:8095/crowd,Connection Failed (persistent),0,Crowd Server URL : Enter the Crowd Server URL. (e.g. http://your-host:8095/crowd )
